Operation,FULLY_CONNECTED_40K
Data Size,40K
valid,80/80
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
2990.7499999999645,3000.6491907235086,2356.4999999999836

Session: 1
valid,20/20
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
1286.6500000000337,57.29999999998236,72.69999999999222,57.29999999998236,1416.6500000000083

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
2042.3117003971415,10.110442751477967,198.62371194641784,10.110442751477967,2025.9027948572875

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
516.5000000000308,54.99999999991623,3.4999999999341114,54.99999999991623,618.0000000001185

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
128.72500000001284,60.34999999997847,7.2749999999954795,60.34999999997847,196.3499999999868

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
108.34403420050161,11.357370884919694,10.190557803896857,11.357370884919694,112.60529249879558

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
87.99999999997698,59.00000000003125,2.9999999999752447,59.00000000003125,159.4999999999791

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
65.55895085307945,30.73593073592184,3.7051184109987103,30.73593073592184,100

first_edge
mean,stddev,median
2998.615599790355,2778.264085562336,1700.098000583239

edge
mean,stddev,median
1416.6784994813497,1807.2675241874933,695.2204930712469

cpu
mean,stddev,median
3.736551007023081,2.261203668284232,3.3974938560277224

