Operation,mobilenet08-15opt_4.2M
Data Size,4.2M
valid,5/5
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
27113.000000000033,8469.820629741815,22804.000000000047

Session: 1
valid,5/5
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
257.5999999999912,1997.6000000000217,1082.8000000000504,1997.6000000000217,3338.000000000063

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
149.7691557030173,144.86821597578006,3.114482300444281,144.86821597578006,11.202678251204095

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
188.9999999999947,2069.0000000000987,1082.0000000002494,2069.0000000000987,3344.0000000002356

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
53.200000000108716,892.3999999999044,1083.800000000057,892.3999999999044,2029.4000000000701

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
6.418722614289718,19.26914632268759,24.066574330447093,19.26914632268759,11.304866208644821

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
53.00000000008076,890.0000000000574,1082.9999999999452,890.0000000000574,2026.0000000000832

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
2.621464472263077,43.97358825267929,53.40494727505764,43.97358825267929,100

first_edge
mean,stddev,median
46834.55499998672,6848.351519627763,45391.433000077086

edge
mean,stddev,median
38885.763000143925,5711.124261080798,36264.70100016377

