,Hardware,Unnamed: 0,benchmark_name,count,extra_time_to_execute(us),inference_time(us),input_shape,input_type,num_of_batches,num_of_channels,num_threads
0,Desktop(CPU + GPU),0.0,graphmaximum_elementwise_20_float_f,50,0.0,159.44,"20,20",float,1,3,1
1,NCS2,1.0,graphmaximum_elementwise_20_float_f,50,1700.0,50.0,"20,20",float,1,3,1
2,Desktop(CPU + GPU),2.0,graphmaximum_elementwise_20_float_f,50,0.0,141.7,"20,20",float,1,3,2
3,NCS2,3.0,graphmaximum_elementwise_20_float_f,50,1790.0,60.0,"20,20",float,1,3,2
4,Desktop(CPU + GPU),4.0,graphmaximum_elementwise_20_float_f,50,0.0,150.94,"20,20",float,1,3,3
5,NCS2,5.0,graphmaximum_elementwise_20_float_f,50,1830.0,50.0,"20,20",float,1,3,3
6,Desktop(CPU + GPU),6.0,graphmaximum_elementwise_20_float_f,50,0.0,142.2,"20,20",float,1,3,4
7,NCS2,7.0,graphmaximum_elementwise_20_float_f,50,1710.0,30.0,"20,20",float,1,3,4
8,Desktop(CPU + GPU),8.0,graphmaximum_elementwise_20_float_f,50,0.0,167.42,"20,20",float,1,3,5
9,NCS2,9.0,graphmaximum_elementwise_20_float_f,50,1670.0,100.0,"20,20",float,1,3,5
10,Desktop(CPU + GPU),10.0,graphmaximum_elementwise_20_float_f,50,0.0,166.88,"20,20",float,1,3,6
11,NCS2,11.0,graphmaximum_elementwise_20_float_f,50,1750.0,30.0,"20,20",float,1,3,6
12,Desktop(CPU + GPU),12.0,graphmaximum_elementwise_20_float_f,50,0.0,181.58,"20,20",float,1,3,7
13,NCS2,13.0,graphmaximum_elementwise_20_float_f,50,1940.0,60.0,"20,20",float,1,3,7
14,Desktop(CPU + GPU),14.0,graphmaximum_elementwise_20_float_f,50,0.0,191.32,"20,20",float,1,3,8
15,NCS2,15.0,graphmaximum_elementwise_20_float_f,50,1850.0,70.0,"20,20",float,1,3,8
16,Desktop(CPU + GPU),16.0,graphmaximum_elementwise_20_float_f,50,0.0,193.08,"20,20",float,1,3,9
17,NCS2,17.0,graphmaximum_elementwise_20_float_f,50,1870.0,70.0,"20,20",float,1,3,9
18,Desktop(CPU + GPU),18.0,graphmaximum_elementwise_20_float_f,50,0.0,194.06,"20,20",float,1,3,10
19,NCS2,19.0,graphmaximum_elementwise_20_float_f,50,1790.0,50.0,"20,20",float,1,3,10
20,Desktop(CPU + GPU),20.0,graphmaximum_elementwise_20_float_f,50,0.0,174.82,"20,20",float,1,3,11
21,NCS2,21.0,graphmaximum_elementwise_20_float_f,50,1680.0,50.0,"20,20",float,1,3,11
22,Desktop(CPU + GPU),22.0,graphmaximum_elementwise_20_float_f,50,0.0,173.82,"20,20",float,1,3,12
23,NCS2,23.0,graphmaximum_elementwise_20_float_f,50,1850.0,60.0,"20,20",float,1,3,12
24,Desktop(CPU + GPU),24.0,graphmaximum_elementwise_40_float_f,50,0.0,157.88,"40,40",float,1,3,1
25,NCS2,25.0,graphmaximum_elementwise_40_float_f,50,2290.0,50.0,"40,40",float,1,3,1
26,Desktop(CPU + GPU),26.0,graphmaximum_elementwise_40_float_f,50,0.0,142.24,"40,40",float,1,3,2
27,NCS2,27.0,graphmaximum_elementwise_40_float_f,50,2070.0,60.0,"40,40",float,1,3,2
28,Desktop(CPU + GPU),28.0,graphmaximum_elementwise_40_float_f,50,0.0,153.74,"40,40",float,1,3,3
29,NCS2,29.0,graphmaximum_elementwise_40_float_f,50,2200.0,60.0,"40,40",float,1,3,3
30,Desktop(CPU + GPU),30.0,graphmaximum_elementwise_40_float_f,50,0.0,162.94,"40,40",float,1,3,4
31,NCS2,31.0,graphmaximum_elementwise_40_float_f,50,2090.0,70.0,"40,40",float,1,3,4
32,Desktop(CPU + GPU),32.0,graphmaximum_elementwise_40_float_f,50,0.0,168.02,"40,40",float,1,3,5
33,NCS2,33.0,graphmaximum_elementwise_40_float_f,50,2130.0,70.0,"40,40",float,1,3,5
34,Desktop(CPU + GPU),34.0,graphmaximum_elementwise_40_float_f,50,0.0,149.38,"40,40",float,1,3,6
35,NCS2,35.0,graphmaximum_elementwise_40_float_f,50,2200.0,60.0,"40,40",float,1,3,6
36,Desktop(CPU + GPU),36.0,graphmaximum_elementwise_40_float_f,50,0.0,165.02,"40,40",float,1,3,7
37,NCS2,37.0,graphmaximum_elementwise_40_float_f,50,2090.0,40.0,"40,40",float,1,3,7
38,Desktop(CPU + GPU),38.0,graphmaximum_elementwise_40_float_f,50,0.0,157.24,"40,40",float,1,3,8
39,NCS2,39.0,graphmaximum_elementwise_40_float_f,50,2100.0,40.0,"40,40",float,1,3,8
40,Desktop(CPU + GPU),40.0,graphmaximum_elementwise_40_float_f,50,0.0,152.0,"40,40",float,1,3,9
41,NCS2,41.0,graphmaximum_elementwise_40_float_f,50,2110.0,50.0,"40,40",float,1,3,9
42,Desktop(CPU + GPU),42.0,graphmaximum_elementwise_40_float_f,50,0.0,143.62,"40,40",float,1,3,10
43,NCS2,43.0,graphmaximum_elementwise_40_float_f,50,2250.0,50.0,"40,40",float,1,3,10
44,Desktop(CPU + GPU),44.0,graphmaximum_elementwise_40_float_f,50,0.0,169.58,"40,40",float,1,3,11
45,NCS2,45.0,graphmaximum_elementwise_40_float_f,50,2200.0,60.0,"40,40",float,1,3,11
46,Desktop(CPU + GPU),46.0,graphmaximum_elementwise_40_float_f,50,0.0,142.9,"40,40",float,1,3,12
47,NCS2,47.0,graphmaximum_elementwise_40_float_f,50,2400.0,90.0,"40,40",float,1,3,12
48,Desktop(CPU + GPU),48.0,graphmaximum_elementwise_60_float_f,50,0.0,228.0,"60,60",float,1,3,1
49,NCS2,49.0,graphmaximum_elementwise_60_float_f,50,2680.0,60.0,"60,60",float,1,3,1
50,Desktop(CPU + GPU),50.0,graphmaximum_elementwise_60_float_f,50,0.0,158.64,"60,60",float,1,3,2
51,NCS2,51.0,graphmaximum_elementwise_60_float_f,50,3060.0,70.0,"60,60",float,1,3,2
52,Desktop(CPU + GPU),52.0,graphmaximum_elementwise_60_float_f,50,0.0,175.1,"60,60",float,1,3,3
53,NCS2,53.0,graphmaximum_elementwise_60_float_f,50,2660.0,90.0,"60,60",float,1,3,3
54,Desktop(CPU + GPU),54.0,graphmaximum_elementwise_60_float_f,50,0.0,185.16,"60,60",float,1,3,4
55,NCS2,55.0,graphmaximum_elementwise_60_float_f,50,2770.0,90.0,"60,60",float,1,3,4
56,Desktop(CPU + GPU),56.0,graphmaximum_elementwise_60_float_f,50,0.0,200.14,"60,60",float,1,3,5
57,NCS2,57.0,graphmaximum_elementwise_60_float_f,50,2850.0,70.0,"60,60",float,1,3,5
58,Desktop(CPU + GPU),58.0,graphmaximum_elementwise_60_float_f,50,0.0,188.58,"60,60",float,1,3,6
59,NCS2,59.0,graphmaximum_elementwise_60_float_f,50,2780.0,70.0,"60,60",float,1,3,6
60,Desktop(CPU + GPU),60.0,graphmaximum_elementwise_60_float_f,50,0.0,188.1,"60,60",float,1,3,7
61,NCS2,61.0,graphmaximum_elementwise_60_float_f,50,2750.0,90.0,"60,60",float,1,3,7
62,Desktop(CPU + GPU),62.0,graphmaximum_elementwise_60_float_f,50,0.0,202.92,"60,60",float,1,3,8
63,NCS2,63.0,graphmaximum_elementwise_60_float_f,50,2850.0,70.0,"60,60",float,1,3,8
64,Desktop(CPU + GPU),64.0,graphmaximum_elementwise_60_float_f,50,0.0,193.12,"60,60",float,1,3,9
65,NCS2,65.0,graphmaximum_elementwise_60_float_f,50,2780.0,50.0,"60,60",float,1,3,9
66,Desktop(CPU + GPU),66.0,graphmaximum_elementwise_60_float_f,50,0.0,190.94,"60,60",float,1,3,10
67,NCS2,67.0,graphmaximum_elementwise_60_float_f,50,2820.0,50.0,"60,60",float,1,3,10
68,Desktop(CPU + GPU),68.0,graphmaximum_elementwise_60_float_f,50,0.0,192.64,"60,60",float,1,3,11
69,NCS2,69.0,graphmaximum_elementwise_60_float_f,50,2890.0,60.0,"60,60",float,1,3,11
70,Desktop(CPU + GPU),70.0,graphmaximum_elementwise_60_float_f,50,0.0,192.54,"60,60",float,1,3,12
71,NCS2,71.0,graphmaximum_elementwise_60_float_f,50,2840.0,60.0,"60,60",float,1,3,12
72,Desktop(CPU + GPU),72.0,graphmaximum_elementwise_80_float_f,50,0.0,172.06,"80,80",float,1,3,1
73,NCS2,73.0,graphmaximum_elementwise_80_float_f,50,3750.0,150.0,"80,80",float,1,3,1
74,Desktop(CPU + GPU),74.0,graphmaximum_elementwise_80_float_f,50,0.0,162.98,"80,80",float,1,3,2
75,NCS2,75.0,graphmaximum_elementwise_80_float_f,50,3550.0,90.0,"80,80",float,1,3,2
76,Desktop(CPU + GPU),76.0,graphmaximum_elementwise_80_float_f,50,0.0,192.4,"80,80",float,1,3,3
77,NCS2,77.0,graphmaximum_elementwise_80_float_f,50,3470.0,80.0,"80,80",float,1,3,3
78,Desktop(CPU + GPU),78.0,graphmaximum_elementwise_80_float_f,50,0.0,164.58,"80,80",float,1,3,4
79,NCS2,79.0,graphmaximum_elementwise_80_float_f,50,3680.0,100.0,"80,80",float,1,3,4
80,Desktop(CPU + GPU),80.0,graphmaximum_elementwise_80_float_f,50,0.0,187.48,"80,80",float,1,3,5
81,NCS2,81.0,graphmaximum_elementwise_80_float_f,50,3730.0,80.0,"80,80",float,1,3,5
82,Desktop(CPU + GPU),82.0,graphmaximum_elementwise_80_float_f,50,0.0,161.18,"80,80",float,1,3,6
83,NCS2,83.0,graphmaximum_elementwise_80_float_f,50,3570.0,80.0,"80,80",float,1,3,6
84,Desktop(CPU + GPU),84.0,graphmaximum_elementwise_80_float_f,50,0.0,168.64,"80,80",float,1,3,7
85,NCS2,85.0,graphmaximum_elementwise_80_float_f,50,3510.0,90.0,"80,80",float,1,3,7
86,Desktop(CPU + GPU),86.0,graphmaximum_elementwise_80_float_f,50,0.0,176.68,"80,80",float,1,3,8
87,NCS2,87.0,graphmaximum_elementwise_80_float_f,50,3550.0,100.0,"80,80",float,1,3,8
88,Desktop(CPU + GPU),88.0,graphmaximum_elementwise_80_float_f,50,0.0,190.18,"80,80",float,1,3,9
89,NCS2,89.0,graphmaximum_elementwise_80_float_f,50,3570.0,90.0,"80,80",float,1,3,9
90,Desktop(CPU + GPU),90.0,graphmaximum_elementwise_80_float_f,50,0.0,180.34,"80,80",float,1,3,10
91,NCS2,91.0,graphmaximum_elementwise_80_float_f,50,3530.0,90.0,"80,80",float,1,3,10
92,Desktop(CPU + GPU),92.0,graphmaximum_elementwise_80_float_f,50,0.0,170.94,"80,80",float,1,3,11
93,NCS2,93.0,graphmaximum_elementwise_80_float_f,50,3500.0,60.0,"80,80",float,1,3,11
