Operation,SPECIAL2_1.8M
Data Size,1.8M
valid,5/5
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
11540.00000000006,826.4547779521009,11344.000000000242

Session: 1
valid,5/5
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
4237.5999999999085,3460.9999999999804,1456.8000000000138,3460.9999999999804,9155.399999999901

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
2120.981918828969,620.6637576014884,257.4290193432046,620.6637576014884,1472.8123777316848

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
3178.000000000125,3878.999999999966,1373.9999999999864,3878.999999999966,8764.99999999991

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
91.59999999992507,2647.000000000022,1240.4000000000083,2647.000000000022,3978.999999999955

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
19.46278500118683,19.131126469702007,162.34469501637017,19.131126469702007,181.84608876732634

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
100.00000000021103,2642.999999999951,1196.9999999998927,2642.999999999951,3940.0000000000546

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
2.3020859512421743,66.524252324706,31.173661724051833,66.524252324706,100

first_edge
mean,stddev,median
9730.412799399346,1367.0657106487974,9366.997001052368

edge
mean,stddev,median
4302.391200326383,250.59936747864236,4242.397000780329

