,task_name,task_type,task_inputs,output_tensor_shape
0,input,Placeholder,  ,  (?| 128| 128| 3)
1,MobilenetV1/Conv2d_0/weights,Const,  ,  (3| 3| 3| 8)
2,MobilenetV1/Conv2d_0/weights/read,Identity,  MobilenetV1/Conv2d_0/weights,  (3| 3| 3| 8)
3,MobilenetV1/Conv2d_0/BatchNorm/gamma,Const,  ,  (8|)
4,MobilenetV1/Conv2d_0/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_0/BatchNorm/gamma,  (8|)
5,MobilenetV1/Conv2d_0/BatchNorm/beta,Const,  ,  (8|)
6,MobilenetV1/Conv2d_0/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_0/BatchNorm/beta,  (8|)
7,MobilenetV1/Conv2d_0/BatchNorm/moving_mean,Const,  ,  (8|)
8,MobilenetV1/Conv2d_0/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_0/BatchNorm/moving_mean,  (8|)
9,MobilenetV1/Conv2d_0/BatchNorm/moving_variance,Const,  ,  (8|)
10,MobilenetV1/Conv2d_0/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_0/BatchNorm/moving_variance,  (8|)
11,MobilenetV1/Conv2d_1_depthwise/depthwise_weights,Const,  ,  (3| 3| 8| 1)
12,MobilenetV1/Conv2d_1_depthwise/depthwise_weights/read,Identity,  MobilenetV1/Conv2d_1_depthwise/depthwise_weights,  (3| 3| 8| 1)
13,MobilenetV1/Conv2d_1_depthwise/BatchNorm/gamma,Const,  ,  (8|)
14,MobilenetV1/Conv2d_1_depthwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_1_depthwise/BatchNorm/gamma,  (8|)
15,MobilenetV1/Conv2d_1_depthwise/BatchNorm/beta,Const,  ,  (8|)
16,MobilenetV1/Conv2d_1_depthwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_1_depthwise/BatchNorm/beta,  (8|)
17,MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_mean,Const,  ,  (8|)
18,MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_mean,  (8|)
19,MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_variance,Const,  ,  (8|)
20,MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_variance,  (8|)
21,MobilenetV1/Conv2d_1_pointwise/weights,Const,  ,  (1| 1| 8| 16)
22,MobilenetV1/Conv2d_1_pointwise/weights/read,Identity,  MobilenetV1/Conv2d_1_pointwise/weights,  (1| 1| 8| 16)
23,MobilenetV1/Conv2d_1_pointwise/BatchNorm/gamma,Const,  ,  (16|)
24,MobilenetV1/Conv2d_1_pointwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_1_pointwise/BatchNorm/gamma,  (16|)
25,MobilenetV1/Conv2d_1_pointwise/BatchNorm/beta,Const,  ,  (16|)
26,MobilenetV1/Conv2d_1_pointwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_1_pointwise/BatchNorm/beta,  (16|)
27,MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_mean,Const,  ,  (16|)
28,MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_mean,  (16|)
29,MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_variance,Const,  ,  (16|)
30,MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_variance,  (16|)
31,MobilenetV1/Conv2d_2_depthwise/depthwise_weights,Const,  ,  (3| 3| 16| 1)
32,MobilenetV1/Conv2d_2_depthwise/depthwise_weights/read,Identity,  MobilenetV1/Conv2d_2_depthwise/depthwise_weights,  (3| 3| 16| 1)
33,MobilenetV1/Conv2d_2_depthwise/BatchNorm/gamma,Const,  ,  (16|)
34,MobilenetV1/Conv2d_2_depthwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_2_depthwise/BatchNorm/gamma,  (16|)
35,MobilenetV1/Conv2d_2_depthwise/BatchNorm/beta,Const,  ,  (16|)
36,MobilenetV1/Conv2d_2_depthwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_2_depthwise/BatchNorm/beta,  (16|)
37,MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_mean,Const,  ,  (16|)
38,MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_mean,  (16|)
39,MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_variance,Const,  ,  (16|)
40,MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_variance,  (16|)
41,MobilenetV1/Conv2d_2_pointwise/weights,Const,  ,  (1| 1| 16| 32)
42,MobilenetV1/Conv2d_2_pointwise/weights/read,Identity,  MobilenetV1/Conv2d_2_pointwise/weights,  (1| 1| 16| 32)
43,MobilenetV1/Conv2d_2_pointwise/BatchNorm/gamma,Const,  ,  (32|)
44,MobilenetV1/Conv2d_2_pointwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_2_pointwise/BatchNorm/gamma,  (32|)
45,MobilenetV1/Conv2d_2_pointwise/BatchNorm/beta,Const,  ,  (32|)
46,MobilenetV1/Conv2d_2_pointwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_2_pointwise/BatchNorm/beta,  (32|)
47,MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_mean,Const,  ,  (32|)
48,MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_mean,  (32|)
49,MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_variance,Const,  ,  (32|)
50,MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_variance,  (32|)
51,MobilenetV1/Conv2d_3_depthwise/depthwise_weights,Const,  ,  (3| 3| 32| 1)
52,MobilenetV1/Conv2d_3_depthwise/depthwise_weights/read,Identity,  MobilenetV1/Conv2d_3_depthwise/depthwise_weights,  (3| 3| 32| 1)
53,MobilenetV1/Conv2d_3_depthwise/BatchNorm/gamma,Const,  ,  (32|)
54,MobilenetV1/Conv2d_3_depthwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_3_depthwise/BatchNorm/gamma,  (32|)
55,MobilenetV1/Conv2d_3_depthwise/BatchNorm/beta,Const,  ,  (32|)
56,MobilenetV1/Conv2d_3_depthwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_3_depthwise/BatchNorm/beta,  (32|)
57,MobilenetV1/Conv2d_3_depthwise/BatchNorm/moving_mean,Const,  ,  (32|)
58,MobilenetV1/Conv2d_3_depthwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_3_depthwise/BatchNorm/moving_mean,  (32|)
59,MobilenetV1/Conv2d_3_depthwise/BatchNorm/moving_variance,Const,  ,  (32|)
60,MobilenetV1/Conv2d_3_depthwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_3_depthwise/BatchNorm/moving_variance,  (32|)
61,MobilenetV1/Conv2d_3_pointwise/weights,Const,  ,  (1| 1| 32| 32)
62,MobilenetV1/Conv2d_3_pointwise/weights/read,Identity,  MobilenetV1/Conv2d_3_pointwise/weights,  (1| 1| 32| 32)
63,MobilenetV1/Conv2d_3_pointwise/BatchNorm/gamma,Const,  ,  (32|)
64,MobilenetV1/Conv2d_3_pointwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_3_pointwise/BatchNorm/gamma,  (32|)
65,MobilenetV1/Conv2d_3_pointwise/BatchNorm/beta,Const,  ,  (32|)
66,MobilenetV1/Conv2d_3_pointwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_3_pointwise/BatchNorm/beta,  (32|)
67,MobilenetV1/Conv2d_3_pointwise/BatchNorm/moving_mean,Const,  ,  (32|)
68,MobilenetV1/Conv2d_3_pointwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_3_pointwise/BatchNorm/moving_mean,  (32|)
69,MobilenetV1/Conv2d_3_pointwise/BatchNorm/moving_variance,Const,  ,  (32|)
70,MobilenetV1/Conv2d_3_pointwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_3_pointwise/BatchNorm/moving_variance,  (32|)
71,MobilenetV1/Conv2d_4_depthwise/depthwise_weights,Const,  ,  (3| 3| 32| 1)
72,MobilenetV1/Conv2d_4_depthwise/depthwise_weights/read,Identity,  MobilenetV1/Conv2d_4_depthwise/depthwise_weights,  (3| 3| 32| 1)
73,MobilenetV1/Conv2d_4_depthwise/BatchNorm/gamma,Const,  ,  (32|)
74,MobilenetV1/Conv2d_4_depthwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_4_depthwise/BatchNorm/gamma,  (32|)
75,MobilenetV1/Conv2d_4_depthwise/BatchNorm/beta,Const,  ,  (32|)
76,MobilenetV1/Conv2d_4_depthwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_4_depthwise/BatchNorm/beta,  (32|)
77,MobilenetV1/Conv2d_4_depthwise/BatchNorm/moving_mean,Const,  ,  (32|)
78,MobilenetV1/Conv2d_4_depthwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_4_depthwise/BatchNorm/moving_mean,  (32|)
79,MobilenetV1/Conv2d_4_depthwise/BatchNorm/moving_variance,Const,  ,  (32|)
80,MobilenetV1/Conv2d_4_depthwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_4_depthwise/BatchNorm/moving_variance,  (32|)
81,MobilenetV1/Conv2d_4_pointwise/weights,Const,  ,  (1| 1| 32| 64)
82,MobilenetV1/Conv2d_4_pointwise/weights/read,Identity,  MobilenetV1/Conv2d_4_pointwise/weights,  (1| 1| 32| 64)
83,MobilenetV1/Conv2d_4_pointwise/BatchNorm/gamma,Const,  ,  (64|)
84,MobilenetV1/Conv2d_4_pointwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_4_pointwise/BatchNorm/gamma,  (64|)
85,MobilenetV1/Conv2d_4_pointwise/BatchNorm/beta,Const,  ,  (64|)
86,MobilenetV1/Conv2d_4_pointwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_4_pointwise/BatchNorm/beta,  (64|)
87,MobilenetV1/Conv2d_4_pointwise/BatchNorm/moving_mean,Const,  ,  (64|)
88,MobilenetV1/Conv2d_4_pointwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_4_pointwise/BatchNorm/moving_mean,  (64|)
89,MobilenetV1/Conv2d_4_pointwise/BatchNorm/moving_variance,Const,  ,  (64|)
90,MobilenetV1/Conv2d_4_pointwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_4_pointwise/BatchNorm/moving_variance,  (64|)
91,MobilenetV1/Conv2d_5_depthwise/depthwise_weights,Const,  ,  (3| 3| 64| 1)
92,MobilenetV1/Conv2d_5_depthwise/depthwise_weights/read,Identity,  MobilenetV1/Conv2d_5_depthwise/depthwise_weights,  (3| 3| 64| 1)
93,MobilenetV1/Conv2d_5_depthwise/BatchNorm/gamma,Const,  ,  (64|)
94,MobilenetV1/Conv2d_5_depthwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_5_depthwise/BatchNorm/gamma,  (64|)
95,MobilenetV1/Conv2d_5_depthwise/BatchNorm/beta,Const,  ,  (64|)
96,MobilenetV1/Conv2d_5_depthwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_5_depthwise/BatchNorm/beta,  (64|)
97,MobilenetV1/Conv2d_5_depthwise/BatchNorm/moving_mean,Const,  ,  (64|)
98,MobilenetV1/Conv2d_5_depthwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_5_depthwise/BatchNorm/moving_mean,  (64|)
99,MobilenetV1/Conv2d_5_depthwise/BatchNorm/moving_variance,Const,  ,  (64|)
100,MobilenetV1/Conv2d_5_depthwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_5_depthwise/BatchNorm/moving_variance,  (64|)
101,MobilenetV1/Conv2d_5_pointwise/weights,Const,  ,  (1| 1| 64| 64)
102,MobilenetV1/Conv2d_5_pointwise/weights/read,Identity,  MobilenetV1/Conv2d_5_pointwise/weights,  (1| 1| 64| 64)
103,MobilenetV1/Conv2d_5_pointwise/BatchNorm/gamma,Const,  ,  (64|)
104,MobilenetV1/Conv2d_5_pointwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_5_pointwise/BatchNorm/gamma,  (64|)
105,MobilenetV1/Conv2d_5_pointwise/BatchNorm/beta,Const,  ,  (64|)
106,MobilenetV1/Conv2d_5_pointwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_5_pointwise/BatchNorm/beta,  (64|)
107,MobilenetV1/Conv2d_5_pointwise/BatchNorm/moving_mean,Const,  ,  (64|)
108,MobilenetV1/Conv2d_5_pointwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_5_pointwise/BatchNorm/moving_mean,  (64|)
109,MobilenetV1/Conv2d_5_pointwise/BatchNorm/moving_variance,Const,  ,  (64|)
110,MobilenetV1/Conv2d_5_pointwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_5_pointwise/BatchNorm/moving_variance,  (64|)
111,MobilenetV1/Conv2d_6_depthwise/depthwise_weights,Const,  ,  (3| 3| 64| 1)
112,MobilenetV1/Conv2d_6_depthwise/depthwise_weights/read,Identity,  MobilenetV1/Conv2d_6_depthwise/depthwise_weights,  (3| 3| 64| 1)
113,MobilenetV1/Conv2d_6_depthwise/BatchNorm/gamma,Const,  ,  (64|)
114,MobilenetV1/Conv2d_6_depthwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_6_depthwise/BatchNorm/gamma,  (64|)
115,MobilenetV1/Conv2d_6_depthwise/BatchNorm/beta,Const,  ,  (64|)
