,task_name,task_type,task_inputs,output_tensor_shape
0,w,Const,  ,  (3| 3| 3| 3)
1,w/read,Identity,  w,  (3| 3| 3| 3)
2,input,Placeholder,  ,  (1| 128| 128| 3)
3,model/conv2d_1,Conv2D,  input| w/read,  (1| 64| 64| 3)
4,model/add_1,Add,  model/conv2d_1| model/conv2d_1,  (1| 64| 64| 3)
5,model/maximum_1,Maximum,  model/conv2d_1| model/add_1,  (1| 64| 64| 3)
6,model/mul_1,Mul,  model/conv2d_1| model/maximum_1,  (1| 64| 64| 3)
7,model/mul_2,Mul,  model/conv2d_1| model/conv2d_1,  (1| 64| 64| 3)
8,model/sub_1,Sub,  model/mul_2| model/mul_1,  (1| 64| 64| 3)
9,model/add_2,Add,  model/sub_1| model/conv2d_1,  (1| 64| 64| 3)
10,model/relu,Relu,  model/add_2,  (1| 64| 64| 3)
11,model/relu6,Relu6,  model/relu,  (1| 64| 64| 3)
12,output_1,Identity,  model/relu6,  (1| 64| 64| 3)
