,task_name,task_type,task_inputs,input_shape
0,MobilenetV1/Conv2d_0/weights/read,Identity,  MobilenetV1/Conv2d_0/weights:0,"  (3, 3, 3, 8)"
1,MobilenetV1/Conv2d_0/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_0/BatchNorm/gamma:0,"  (8,)"
2,MobilenetV1/Conv2d_0/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_0/BatchNorm/beta:0,"  (8,)"
3,MobilenetV1/Conv2d_0/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_0/BatchNorm/moving_mean:0,"  (8,)"
4,MobilenetV1/Conv2d_0/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_0/BatchNorm/moving_variance:0,"  (8,)"
5,MobilenetV1/Conv2d_1_depthwise/depthwise_weights/read,Identity,  MobilenetV1/Conv2d_1_depthwise/depthwise_weights:0,"  (3, 3, 8, 1)"
6,MobilenetV1/Conv2d_1_depthwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_1_depthwise/BatchNorm/gamma:0,"  (8,)"
7,MobilenetV1/Conv2d_1_depthwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_1_depthwise/BatchNorm/beta:0,"  (8,)"
8,MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_mean:0,"  (8,)"
9,MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_1_depthwise/BatchNorm/moving_variance:0,"  (8,)"
10,MobilenetV1/Conv2d_1_pointwise/weights/read,Identity,  MobilenetV1/Conv2d_1_pointwise/weights:0,"  (1, 1, 8, 16)"
11,MobilenetV1/Conv2d_1_pointwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_1_pointwise/BatchNorm/gamma:0,"  (16,)"
12,MobilenetV1/Conv2d_1_pointwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_1_pointwise/BatchNorm/beta:0,"  (16,)"
13,MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_mean:0,"  (16,)"
14,MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_1_pointwise/BatchNorm/moving_variance:0,"  (16,)"
15,MobilenetV1/Conv2d_2_depthwise/depthwise_weights/read,Identity,  MobilenetV1/Conv2d_2_depthwise/depthwise_weights:0,"  (3, 3, 16, 1)"
16,MobilenetV1/Conv2d_2_depthwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_2_depthwise/BatchNorm/gamma:0,"  (16,)"
17,MobilenetV1/Conv2d_2_depthwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_2_depthwise/BatchNorm/beta:0,"  (16,)"
18,MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_mean:0,"  (16,)"
19,MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_2_depthwise/BatchNorm/moving_variance:0,"  (16,)"
20,MobilenetV1/Conv2d_2_pointwise/weights/read,Identity,  MobilenetV1/Conv2d_2_pointwise/weights:0,"  (1, 1, 16, 32)"
21,MobilenetV1/Conv2d_2_pointwise/BatchNorm/gamma/read,Identity,  MobilenetV1/Conv2d_2_pointwise/BatchNorm/gamma:0,"  (32,)"
22,MobilenetV1/Conv2d_2_pointwise/BatchNorm/beta/read,Identity,  MobilenetV1/Conv2d_2_pointwise/BatchNorm/beta:0,"  (32,)"
23,MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_mean/read,Identity,  MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_mean:0,"  (32,)"
24,MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_variance/read,Identity,  MobilenetV1/Conv2d_2_pointwise/BatchNorm/moving_variance:0,"  (32,)"
