Operation,mobilenet08-22opt_4.3M
Data Size,4.3M
valid,5/5
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
29692.599999999868,9090.502560364828,28569.999999999985

Session: 1
valid,5/5
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
2571.000000000145,2832.599999999941,1079.1999999999914,2832.599999999941,6482.8000000000775

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
38.307962618902536,22.423202269210186,4.969909455978164,22.423202269210186,31.807231882165897

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
2555.000000000085,2823.00000000002,1081.9999999998054,2823.00000000002,6492.000000000165

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
46.20000000001845,1575.0000000000152,1107.3999999999805,1575.0000000000152,2728.600000000014

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
8.378544026286306,18.34393632796916,40.543803472315254,18.34393632796916,42.17582245784884

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
45.99999999999049,1567.0000000000962,1088.0000000001999,1567.0000000000962,2718.999999999916

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
1.6931759876866601,57.72190867111365,40.5849153411997,57.72190867111365,100

first_edge
mean,stddev,median
36356.55060006684,5796.386749730704,37087.386999701266

edge
mean,stddev,median
26999.217800039332,3478.2075983388836,25453.91200010272

